network_address,prefixlen,bgp_prefix,asn,responsive_addresses,port,date,location
1.0.0.0,24,1.1.1.0/24,13335,256,80,20260204,nl-ens
1.1.1.0,24,1.10.10.0/24,148000,256,80,20260204,nl-ens
2.57.91.0,24,2.58.104.0/24,55532,256,80,20260204,nl-ens
2.58.104.0,24,2.58.107.0/24,55532,256,80,20260204,nl-ens
2.58.107.0,24,3.2.8.0/24,16509,256,80,20260204,nl-ens
3.33.132.0,24,3.33.128.0/20,16509,231,80,20260204,nl-ens
3.33.135.0,24,3.33.128.0/20,16509,232,80,20260204,nl-ens
3.33.136.0,24,3.33.128.0/20,16509,233,80,20260204,nl-ens
3.33.138.0,24,3.33.128.0/20,16509,234,80,20260204,nl-ens
3.33.139.0,24,3.33.128.0/20,16509,236,80,20260204,nl-ens
3.33.148.0,24,3.33.144.0/20,16509,233,80,20260204,nl-ens
3.33.159.0,24,3.33.160.0/20,16509,234,80,20260204,nl-ens
3.33.166.0,24,3.33.160.0/20,16509,231,80,20260204,nl-ens
3.33.173.0,24,3.33.160.0/20,16509,232,80,20260204,nl-ens
3.33.178.0,24,3.33.176.0/20,16509,233,80,20260204,nl-ens
3.33.181.0,24,3.33.176.0/20,16509,236,80,20260204,nl-ens
3.33.184.0,24,3.33.176.0/20,16509,231,80,20260204,nl-ens
3.33.191.0,24,3.33.192.0/20,16509,234,80,20260204,nl-ens
3.33.192.0,24,3.33.192.0/20,16509,232,80,20260204,nl-ens
3.33.193.0,24,3.33.192.0/20,16509,232,80,20260204,nl-ens
3.33.194.0,24,3.33.192.0/20,16509,238,80,20260204,nl-ens
3.33.202.0,24,3.33.192.0/20,16509,231,80,20260204,nl-ens
3.33.205.0,24,3.33.192.0/20,16509,233,80,20260204,nl-ens
3.33.207.0,24,3.33.208.0/20,16509,233,80,20260204,nl-ens
3.33.212.0,24,3.33.208.0/20,16509,231,80,20260204,nl-ens
3.33.215.0,24,3.33.208.0/20,16509,233,80,20260204,nl-ens
3.33.220.0,24,3.33.208.0/20,16509,245,80,20260204,nl-ens
3.33.221.0,24,3.33.208.0/20,16509,233,80,20260204,nl-ens
3.33.222.0,24,3.33.208.0/20,16509,236,80,20260204,nl-ens
3.33.225.0,24,3.33.224.0/20,16509,234,80,20260204,nl-ens
3.33.229.0,24,3.33.224.0/20,16509,234,80,20260204,nl-ens
3.33.233.0,24,3.33.224.0/20,16509,231,80,20260204,nl-ens
3.33.240.0,24,3.33.240.0/20,16509,232,80,20260204,nl-ens
3.33.241.0,24,3.33.240.0/20,16509,231,80,20260204,nl-ens
3.33.243.0,24,3.33.240.0/20,16509,238,80,20260204,nl-ens
3.33.246.0,24,3.33.240.0/20,16509,238,80,20260204,nl-ens
3.33.250.0,24,3.33.240.0/20,16509,240,80,20260204,nl-ens
3.33.252.0,24,3.33.240.0/20,16509,237,80,20260204,nl-ens
3.33.253.0,24,3.33.240.0/20,16509,233,80,20260204,nl-ens
3.33.255.0,24,3.163.232.0/24,16509,231,80,20260204,nl-ens
3.163.232.0,24,3.163.234.0/24,16509,256,80,20260204,nl-ens
3.163.234.0,24,3.163.236.0/24,16509,256,80,20260204,nl-ens
3.163.236.0,24,3.163.238.0/24,16509,256,80,20260204,nl-ens
3.163.238.0,24,3.163.245.0/24,16509,256,80,20260204,nl-ens
