fingerprint,nr_pops,count
dns,80,11
ssh,82,3
ntp,58,12
smtp,77,11
tls,46,15
mqtt,76,1
ftp,57,6
http,8,11
amqp,65,3
tls,5,13
http,77,327
mysql,6,62
tls,71,79
http,64,739
http,19,119
quic-h3,24,20
dns,77,20
smtp,63,20
http,57,98
quic-h3,78,363
dns,8,21
mysql,7,3
http,58,104
https,53,23
http,33,5
https,4,22
https,16,9
mqtt,62,6
pop3,7,12
mysql,60,2
tls,61,385
smtp,79,8
mqtt,18,7
tls,74,82
https,65,662
dns,27,8
dns,14,1
pop3,5,10
quic-h3,74,78
http,61,386
ftp,61,4
mysql,65,4
postgres,19,102
mongodb,18,2
mssql,60,4
ssh,66,12
ssh,63,47
https,54,12
http,46,17
https,49,1
tls,80,162
quic-h3,64,239
tls,55,26
quic-h3,55,19
https,2,502
ntp,60,1
quic-doq,19,2
postgres,63,4
pop3s,20,1
https,6,132
quic-h3,81,38
quic-h3,70,165
redis,20,8
rdp,63,3
ftp,5,10
tls,66,447
quic-h3,2,464
quic-h3,19,20
dns,50,1
quic-h3,3,54
http,70,165
smtp,18,9
dns,20,35
mysql,19,16
https,18,21
rdp,80,2
http,49,8
http,79,307
tls,20,95
quic-h3,46,17
imaps,61,1
postgres,58,6
mysql,58,12
http,47,24
smtps,20,5
http,82,8
smtp,76,3
quic-h3,57,35
https,77,179
smtp,7,12
tls,76,252
quic-h3,66,203
http,63,1003
http,50,10
dns,18,16
quic-h3,75,185
https,55,33
quic-h3,62,141
quic-h3,9,16
https,9,13
http,69,271
http,81,38
postgres,20,92
https,20,57
tls,16,9
smtp,61,14
https,80,126
mysql,59,8
quic-h3,27,23
amqp,19,14
tls,51,5
ftp,66,2
https,64,626
tls,54,3
http,65,822
imaps,6,151
http,60,105
http,3,60
quic-h3,73,35
postgres,60,2
mssql,58,8
https,67,20
https,26,70
amqp,20,10
ssh,64,30
https,14,13
tls,64,696
quic-h3,56,23
dns,76,19
ftp,7,12
quic-h3,65,282
dns,58,36
ftps,77,4
https,25,82
dns,34,3
dns,59,32
tls,47,21
https,24,19
mssql,64,3
https,5,16
http,62,875
dns,42,4
pop3,20,1
dns,25,16
tls,48,13
smtps,7,12
quic-h3,63,186
https,71,14
https,29,9
rdp,65,3
quic-h3,20,15
quic-h3,30,7
ssh,61,32
dns,22,4
http,66,467
http,18,32
ssh,62,39
http,9,16
amqp,61,1
mqtt,57,16
imap,77,2
http,7,22
