fingerprint,nr_pops,count
postgres,8,2
ftp,11,1
ntp,58,22
bgp,2,15
http,8,34
ftp,57,32
tls,5,14
ntp,3,37
http,64,8
http,19,12
ntp,11,5
bgp,12,1
rdp,3,4
quic-h3,24,2
ntp,5,13
http,57,229
dns,8,89
ntp,55,4
mysql,7,2
telnet,12,1
http,58,256
ntp,56,11
smtps,58,4
dns,12,137
http,12,24
quic-h3,12,11
dns,73,7
http,33,1
ntp,12,5
https,4,95
smtp,3,17
ntp,16,2
mysql,55,5
mysql,60,6
memcached,60,1
postgres,2,31
dns,43,5
dns,49,2
tls,61,9
dns,28,12
quic-h3,32,3
quic-doq,32,2
pop3,5,4
dns,14,58
dns,27,12
https,65,8
redis,57,2
http,61,16
mysql,24,2
tls,23,5
ssh,63,3
https,54,16
https,49,2
dns,31,7
mysql,56,6
https,2,358
dns,52,5
tls,55,37
imaps,58,3
quic-h3,55,11
quic-h3,64,1
dns,65,4
https,6,37
imaps,9,3
pop3s,20,1
dns,63,3
quic-h3,70,2
ftp,5,5
smtps,2,83
pop3s,2,83
quic-h3,2,88
quic-h3,19,4
tls,66,2
quic-h3,3,16
imap,9,3
imaps,56,3
smtps,8,6
smtp,18,1
ntp,24,1
dns,20,61
https,18,2
quic-h3,41,3
mysql,57,16
tls,52,1
http,49,3
dns,70,6
mysql,12,1
ftp,23,1
ssh,29,3
tls,20,2
smtp,57,24
postgres,58,14
mysql,58,21
http,47,2
smtps,20,1
quic-h3,57,89
rdp,60,9
smtp,12,2
vnc,3,4
smtp,7,1
http,63,19
dns,18,22
quic-h3,52,3
redis,9,2
oracle,58,1
quic-doq,6,1
quic-h3,66,1
rtsp,60,1
https,55,38
quic-h3,9,15
https,9,32
quic-h3,62,8
bgp,4,5
https,20,6
quic-doq,2,1
quic-h3,44,2
telnet,2,2
http,10,35
mysql,59,18
http,23,6
http,44,2
https,64,14
tls,54,12
ssh,9,11
http,41,4
imaps,6,2
http,65,7
quic-doq,13,1
http,60,66
tls,43,1
http,3,120
postgres,60,2
smtp,8,7
mssql,58,8
tls,3,47
quic-doq,4,1
quic-doq,3,2
pptp,9,1
http,36,6
dns,48,4
https,26,5
ssh,64,3
ftp,43,1
ssh,8,13
https,14,14
imap,55,1
tls,64,7
quic-h3,56,36
siemens,2,3
siemens,8,2
rdp,5,2
dns,58,102
dns,72,7
ftp,3,12
ftp,60,9
smtp,56,12
ftps,58,5
pptp,4,21
pop3,9,3
ntp,6,8
dns,59,73
https,5,42
https,22,3
mssql,54,1
http,62,18
quic-h3,43,2
telnet,8,1
dns,42,3
dns,25,31
http,22,3
pop3,20,1
pop3s,59,3
quic-h3,63,5
https,29,3
ssh,61,6
rdp,19,1
quic-h3,20,4
ftps,43,1
mqtt,11,1
ssh,6,21
http,18,4
dns,62,10
http,66,4
http,9,42
mqtt,57,59
http,7,31
ssh,28,2
imaps,55,1
rdp,9,4
pop3,55,1
mysql,9,5
imap,2,84
https,33,1
smtps,18,1
redis,59,1
quic-h3,58,101
rtsp,59,3
dns,4,157
imap,5,4
ftp,4,13
ntp,9,5
amqps,58,5
tls,9,28
postgres,9,2
quic-h3,13,5
tls,18,1
ssh,43,1
memcached,2,5
http,26,5
mssql,56,4
https,70,2
mqtt,2,43
pop3,8,6
rdp,7,2
dns,55,20
dns,23,12
mssql,23,1
dns,3,187
dns,44,6
https,36,3
bgp,9,2
http,55,39
ftp,58,35
mqtt,60,15
ntp,2,154
tls,2,173
pop3,19,1
http,4,113
mqtt,56,23
ssh,54,8
imaps,3,6
pop3,4,5
dns,47,2
smtp,59,23
ssh,22,4
ssh,5,23
ntp,57,16
smtp,36,1
dns,60,24
amqp,60,2
mqtt,58,59
smtp,19,1
ssh,14,6
quic-h3,59,68
http,6,53
tls,8,18
imap,18,1
http,13,12
rdp,59,16
imaps,2,84
ssh,59,108
ntp,14,4
https,8,25
smb,54,1
http,35,3
rdp,57,20
mqtt,55,8
https,66,3
tls,14,7
dns,7,70
ssh,36,2
rtsp,58,2
http,52,3
smb,2,38
http,51,2
pop3,59,3
pptp,3,11
http,15,23
smtps,9,3
pop3,3,5
ssh,18,3
rdp,2,74
rdp,58,19
smtp,20,1
imap,19,1
imap,8,6
imap,6,3
dns,40,4
mssql,9,3
ftp,19,1
amqps,59,3
imaps,43,1
ssh,4,36
https,62,20
https,28,5
ftp,8,5
https,47,1
quic-h3,6,12
tls,28,3
pop3s,18,1
amqp,57,3
quic-h3,5,4
https,10,18
mongodb,60,1
https,7,24
dns,13,80
tls,67,2
http,5,55
