cctld,type,administered
ಭಾರತ,country-code,National Internet eXchange of India
한국,country-code,KISA (Korea Internet & Security Agency)
ଭାରତ,country-code,National Internet eXchange of India
ভাৰত,country-code,National Internet eXchange of India
ভারত,country-code,National Internet Exchange of India
ישראל,country-code,The Israel Internet Association (RA)
বাংলা,country-code,Posts and Telecommunications Division
қаз,country-code,Association of IT Companies of Kazakhstan
срб,country-code,Serbian National Internet Domain Registry (RNIDS)
бг,country-code,Imena.BG AD
бел,country-code,Belarusian Cloud Technologies LLC
சிங்கப்பூர்,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
мкд,country-code,Macedonian Academic Research Network Skopje
ею,country-code,EURid vzw
中国,country-code,China Internet Network Information Center (CNNIC)
中國,country-code,China Internet Network Information Center (CNNIC)
భారత్,country-code,National Internet Exchange of India
ලංකා,country-code,LK Domain Registry
ભારત,country-code,National Internet Exchange of India
भारतम्,country-code,National Internet eXchange of India
भारत,country-code,National Internet Exchange of India
भारोत,country-code,National Internet eXchange of India
укр,country-code,Ukrainian Network Information Centre (UANIC) Inc.
香港,country-code,Hong Kong Internet Registration Corporation Ltd.
台湾,country-code,Taiwan Network Information Center (TWNIC)
台灣,country-code,Taiwan Network Information Center (TWNIC)
мон,country-code,Datacom Co. Ltd
الجزائر,country-code,CERIST
عمان,country-code,Telecommunications Regulatory Authority (TRA)
ایران,country-code,Institute for Research in Fundamental Sciences (IPM)
امارات,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA)
موريتانيا,country-code,Université de Nouakchott Al Aasriya
پاکستان,country-code,National Telecommunication Corporation
الاردن,country-code,Ministry of Digital Economy and Entrepreneurship (MoDEE)
بارت,country-code,National Internet eXchange of India
بھارت,country-code,National Internet Exchange of India
المغرب,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
البحرين,country-code,Telecommunications Regulatory Authority (TRA)
السعودية,country-code,Communications Space and Technology Commission
ڀارت,country-code,National Internet eXchange of India
سودان,country-code,Sudan Internet Society
عراق,country-code,Communications and Media Commission (CMC)
مليسيا,country-code,MYNIC Berhad
澳門,country-code,Macao Post and Telecommunications Bureau (CTT)
გე,country-code,Information Technologies Development Center (ITDC)
ไทย,country-code,Thai Network Information Center Foundation
سورية,country-code,National Agency for Network Services (NANS)
рф,country-code,Coordination Center for TLD RU
تونس,country-code,Agence Tunisienne d'Internet
ລາວ,country-code,Lao National Internet Center (LANIC) Ministry of Technology and Communications
ευ,country-code,EURid vzw
ελ,country-code,ICS-FORTH GR
ഭാരതം,country-code,National Internet eXchange of India
ਭਾਰਤ,country-code,National Internet Exchange of India
مصر,country-code,National Telecommunication Regulatory Authority - NTRA
قطر,country-code,Communications Regulatory Authority
இலங்கை,country-code,LK Domain Registry
இந்தியா,country-code,National Internet Exchange of India
հայ,country-code,Internet Society Non-governmental Organization
新加坡,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
فلسطين,country-code,Ministry of Telecom & Information Technology (MTIT)
