fingerprint,union,intersection,jaccard
ssl,2,0,0.0
redis,30,0,0.0
modbus,1,0,0.0
mssql,115,8,0.06956521739130435
telnet,51,7,0.13725490196078433
smtp,751,333,0.4434087882822903
smtps,334,213,0.6377245508982036
http,11130,7163,0.6435759209344115
amqps,51,34,0.6666666666666666
siemens,22,15,0.6818181818181818
ftps,42,29,0.6904761904761905
pptp,82,58,0.7073170731707317
bgp,43,31,0.7209302325581395
mysql,408,302,0.7401960784313726
postgres,443,350,0.7900677200902935
ntp,506,406,0.8023715415019763
rtsp,66,53,0.803030303030303
quic-h3,6351,5124,0.8068020784128483
oracle,11,9,0.8181818181818182
quic-doq,34,29,0.8529411764705882
ipmi,7,6,0.8571428571428571
amqp,84,72,0.8571428571428571
imaps,379,325,0.8575197889182058
vnc,22,19,0.8636363636363636
mongodb,45,39,0.8666666666666667
ssh,1869,1624,0.8689138576779026
rdp,291,253,0.8694158075601375
memcached,8,7,0.875
ftp,591,528,0.8934010152284264
pop3s,329,298,0.9057750759878419
mqtt,483,438,0.906832298136646
https,9116,8551,0.938021061869241
pop3,335,317,0.9462686567164179
imap,347,329,0.9481268011527377
dns,2938,2804,0.9543907420013614
tls,9303,9006,0.9680748145759432
smb,46,46,1.0
