port,fingerprint,count
8443,tls,106373
444,ftp,1
9999,tls,6799
8080,ssh,1
9999,http,159
8080,unknown,1397066
8443,http,4764
444,unknown,800941
9999,unknown,731100
444,ssh,6
8443,unknown,1382489
8443,ssh,2
8443,amqp,2
444,tls,6843
444,http,101
8080,http,103514
8080,tls,1921
6001,unknown,715376
23,http,95
5000,unknown,715127
8000,tls,2943
554,unknown,744105
20000,http,2676
5900,unknown,744130
873,unknown,698645
6443,http,109
6443,unknown,714474
11211,unknown,743003
20000,tls,2506
13,unknown,686713
5000,http,469
554,http,155
49156,unknown,716442
5009,unknown,733684
1720,unknown,714016
20000,unknown,687325
8000,http,455
993,unknown,708799
445,http,100
23,unknown,733706
8000,unknown,728945
8081,unknown,703078
445,unknown,798750
27017,unknown,713562
8081,tls,5585
5060,http,114
2001,unknown,701972
79,http,595
5631,unknown,696582
8008,unknown,705795
5060,unknown,721065
6001,tls,85
4899,tls,10
81,unknown,790234
5432,unknown,699847
81,http,1168
4899,unknown,717660
8888,unknown,707977
81,tls,55
139,unknown,696844
8081,http,2360
3000,unknown,729704
515,unknown,663441
3389,unknown,712896
8888,http,354
8888,dns,5
79,unknown,663126
2717,unknown,692705
22,ssh,8923
143,unknown,718264
9100,unknown,707254
8008,http,359
631,unknown,693391
6646,tls,11
6646,unknown,703801
1026,unknown,700379
110,unknown,709524
110,pop3,4279
22,unknown,696773
8888,tls,5688
1900,unknown,691920
995,unknown,699758
8008,ftp,1
995,tls,3838
9100,http,1602
2121,unknown,700718
25,smtp,9023
2121,tls,4
3128,unknown,692540
49154,unknown,697897
2121,http,87
3986,unknown,699507
25,tls,3567
144,unknown,705373
8009,unknown,702911
1883,unknown,714770
25,unknown,683001
2049,unknown,698220
1755,unknown,679324
514,unknown,712955
102,unknown,703434
49152,http,104
5989,unknown,706017
513,unknown,683060
49152,unknown,695203
5000,tls,126
1521,unknown,689632
548,unknown,706088
7070,unknown,711874
7070,tls,105
5357,unknown,701436
10000,unknown,688130
7,unknown,667267
10000,tls,202
10000,http,239
13,dns,2
5101,unknown,689673
7070,http,116
10000,ssh,4
6000,unknown,698879
49157,unknown,653837
1025,unknown,667533
2005,unknown,659639
502,unknown,688501
5631,tls,8
5631,http,93
49156,http,98
513,http,93
49156,mysql,1
8009,http,114
5000,smtp-ftp,8
1027,unknown,683239
6443,tls,5717
5190,unknown,697159
49156,ftp,1
49156,tls,5
2001,tls,37
587,tls,37
106,http,92
5631,dns,2
587,dns,2
587,unknown,701518
106,unknown,723116
587,smtp,2673
2001,telnet,4
143,imap,4311
5190,http,91
9,unknown,673881
9,http,92
2001,http,97
2717,http,92
2001,dns,1
9100,smtp-ftp,1
1883,tls,107
554,tls,2
6379,unknown,725187
1029,unknown,666940
3000,http,844
646,unknown,681961
3389,tls,16
119,unknown,695623
5357,http,335
1110,unknown,770992
6001,http,108
49153,unknown,679995
3000,tls,179
543,unknown,654628
2001,ssh,1
9100,tls,49
5989,vnc,3
135,http,96
119,http,87
1026,http,96
1026,pop3,1
25,pop3,1
1720,http,89
25,http,822
1025,http,99
1026,telnet,1
544,unknown,666709
2717,smtp,1
5989,http,96
8009,tls,57
543,http,93
6646,http,93
2717,ftp,1
135,unknown,674813
25,ssh,6
1026,tls,28
502,tls,3
1026,ssh,2
2717,tls,9
26,tls,5
6379,tls,168
26,unknown,646733
26,smtp,41
49155,unknown,680709
514,http,90
514,rtsp,1
26,http,92
22,tls,32
143,http,94
199,unknown,688029
543,tls,10
992,unknown,691170
110,http,441
1433,unknown,722903
27017,tls,22
6000,smtp-ftp,2
6000,http,260
5101,http,98
5672,unknown,694964
2000,ftp,1
6379,redis,37
5671,http,166
2000,http,96
5432,postgres,1303
5101,tls,15
6379,http,2997
544,http,154
13,tls,3
544,ftp,2
13,http,92
2000,unknown,666906
2000,imap,4
21,unknown,706689
135,ftp,1
544,tls,11
5671,unknown,653413
26,smtp-ftp,4
5671,tls,89
2000,tls,31
543,ftp,1
135,tls,6
2000,telnet,1
21,ftp,6
49155,http,102
465,unknown,680997
465,tls,2246
1883,mqtt,612
502,rtsp,1
587,http,100
1883,http,118
587,ftp,2
49157,http,98
179,unknown,702232
32768,unknown,600236
79,dns,2
2005,tls,6
3986,tls,8
3986,http,88
4899,http,94
2049,tls,7
427,unknown,666248
2049,http,94
37,unknown,671121
6000,vnc,2
990,tls,65
631,ssh,1
1911,unknown,710125
631,http,103
3389,siemens,16
3389,rdp,1085
631,tls,4
502,modbus,1
502,http,97
3389,http,94
646,http,92
1883,amqp,1
5672,http,178
7,http,92
990,http,94
5672,amqp,95
3389,ftp,1
990,unknown,682746
88,unknown,642042
5671,amqp,3
990,ftp,14
992,tls,32
5900,vnc,18
444,smtp-ftp,3
32768,tls,20
1521,http,90
11211,ftp,1
23,telnet,88
548,http,156
5051,unknown,614102
79,tls,7
5432,tls,13
992,http,94
49153,http,95
5432,ftp,1
6000,tls,14
11211,tls,4
32768,http,101
11211,http,104
5432,http,99
1521,oracle,11
199,http,93
11211,memcached_ascii,5
623,unknown,708530
5666,unknown,701514
1028,unknown,674651
113,unknown,694641
389,unknown,698148
111,unknown,692786
5800,unknown,686387
80,unknown,2141221
80,tls,808
443,ssh,86
443,unknown,2242959
443,tls,309179
80,http,382328
443,dns,500
443,http,3790
80,smtp,2
443,mssql,4
5900,http,92
9999,smtp-ftp,1
11211,memcached_binary,1
873,http,95
20,unknown,707141
8008,dns,1
1723,pptp,199
139,http,89
1723,unknown,700670
6379,dns,1
8008,tls,40
8888,ssh,10
1025,tls,39
5672,tls,19
1027,http,95
49155,tls,3
1911,http,94
20,tls,5
2049,dns,1
993,tls,4204
1720,dns,2
514,tls,12
27017,http,106
6001,vnc,2
5009,http,107
6001,telnet,2
199,tls,6
993,ssh,1
1723,http,96
873,tls,5950
27017,ftp,1
8443,dns,1
8080,ftp,1
993,imap,1
445,tls,20
993,pop3,1
993,ftp,1
993,http,99
465,smtp,28
5900,tls,10
513,tls,4
49154,tls,2
27017,dns,1
1029,http,108
1911,dns,1
80,dns,1
80,ftp,1
443,ssl,3
5009,ftp,1
5009,tls,21
143,tls,3
443,ftp,1
443,telnet,4
106,tls,6
1720,pop3,2
106,pop3,2
1720,ftp,1
22,dns,1
23,ssh,6
106,rtsp,1
5000,telnet,2
5000,dns,1
1720,tls,18
81,ssh,1
9999,dns,2
110,tls,1
322,unknown,692552
5631,telnet,5
49153,tls,5
1025,smtp,17
5060,tls,23
1723,tls,5
5060,ftp,1
1723,ftp,1
5060,pop3,3
20,http,90
5631,ftp,1
8000,dns,1
2001,ftp,1
515,http,91
1883,ftp,1
3128,tls,7
5190,ftp,1
5190,tls,10
3128,http,212
1911,tls,9
7070,ssh,1
515,ftp,1
3389,ssh,1
3128,ssh,1
5989,tls,11
1900,http,92
548,tls,6
3128,ftp,1
995,pop3,6
995,http,96
554,dns,1
548,ftp,1
1900,tls,17
81,ftp,1
3306,unknown,728872
144,http,92
1029,tls,32
27017,mongodb,43
144,tls,6
3306,mysql,2
992,dns,2
445,smb,89
9,tls,6
22,http,56
515,rtsp,1
7,tls,20
515,telnet,1
515,tls,5
1026,dns,2
119,tls,4
26,ftp,1
1755,http,92
110,smtp,1
1755,tls,23
110,ftp,1
445,ftp,1
445,mysql,1
5000,pop3,3
5000,ftp,1
49157,tls,2
2005,http,100
1029,dns,1
5000,mysql,2
49152,tls,8
1029,ssh,1
20,ftp,5
1029,ftp,1
5357,tls,10
5357,telnet,1
49154,http,97
20000,ftp,3
102,ftp,1
6379,mysql,1
5672,smtp,1
102,http,89
102,tls,4
514,ftp,1
322,http,90
80,smtp-ftp,1
80,ssh,7
646,tls,8
554,rtsp,85
22,smtp-ftp,2
646,ftp,1
20000,telnet,1
514,dns,1
49153,ssh,2
992,ftp,1
26,ssh,2
32768,ssh,2
465,http,96
8008,ssh,1
1026,ftp,1
10000,ftp,1
10000,vnc,1
49157,ftp,1
554,ftp,1
143,pop3,1
143,ssh,1
23,ftp,1
2121,ftp,11
513,dns,1
8000,ftp,1
1723,dns,1
139,tls,4
139,pop3,1
139,ftp,2
139,smtp,1
139,telnet,1
199,dns,2
119,pop3,7
4899,ftp,1
119,ftp,1
3986,ftp,1
1027,tls,29
513,ftp,1
1027,mysql,1
6000,telnet,1
49152,ssh,1
1025,ftp,1
1025,pop3,2
1025,ssh,1
1025,telnet,1
79,pop3,5
79,ftp,1
79,telnet,2
79,smtp,1
9,ftp,1
110,dns,1
6000,ftp,1
8081,memcached_binary,1
8081,ftp,1
1521,tls,2
5672,ftp,1
1911,ftp,1
322,ssh,1
2121,telnet,1
20,smtp,1
32768,pop3,3
9999,ftp,1
322,tls,7
32768,mysql,1
32768,telnet,1
