port,fingerprint,count
80,unknown,1645795
80,tls,5425
80,smtp-ftp,1
443,ssh,103
443,unknown,1530160
443,tls,1025318
80,http,891792
443,http,14237
443,mssql,7
80,ssh,8
8443,tls,79378
5060,unknown,1244097
8080,unknown,1440376
8443,http,13592
8443,unknown,1446144
8080,http,111784
8080,tls,3144
2717,unknown,782438
22,ssh,10673
2005,unknown,793605
9100,unknown,779430
2001,unknown,789013
22,tls,14
8008,unknown,753711
9999,http,110
587,unknown,764921
5432,unknown,781919
8009,unknown,780900
5101,unknown,784977
587,smtp,3212
3000,http,601
8888,unknown,798154
22,unknown,774032
646,unknown,777778
9999,unknown,754894
8888,tls,8177
8000,http,2696
322,unknown,762872
995,unknown,774623
3000,unknown,765225
513,unknown,792508
49152,unknown,765121
5432,http,48
8888,http,420
8000,unknown,782802
9100,http,1865
8081,unknown,761588
1723,unknown,783226
1433,unknown,776399
2001,tls,2065
5000,unknown,756171
1025,unknown,784437
10000,unknown,770929
7,unknown,770401
3306,unknown,784991
49154,unknown,777706
3128,unknown,785068
1025,smtp,17
79,http,544
6646,unknown,764939
1028,unknown,772705
5000,http,460
49155,unknown,775479
9,unknown,756861
2001,http,44
1755,unknown,778216
102,unknown,768413
3306,mysql,982
135,unknown,750219
3389,unknown,762218
2005,dns,1
79,unknown,778291
26,tls,3
5357,unknown,778030
5666,unknown,764801
502,unknown,783052
5631,unknown,745810
631,unknown,768060
3986,unknown,744357
23,telnet,94
389,ftp,1
4899,unknown,756652
23,ssh,7
110,unknown,801375
110,tls,2
26,unknown,759878
26,smtp,57
389,unknown,775948
389,http,37
389,tls,5
544,unknown,753955
5009,unknown,772133
111,unknown,756848
6000,unknown,776567
111,http,2072
26,ssh,1
5989,unknown,768713
26,smtp-ftp,4
110,http,2380
23,unknown,751524
26,http,34
26,ftp,1
49155,http,47
27017,unknown,736823
143,unknown,734025
554,unknown,715882
1723,http,2081
1723,tls,4
6443,unknown,756731
1723,ftp,1
49152,tls,9
1900,http,37
5800,http,39
1900,unknown,740062
5800,ftp,1
139,unknown,782488
2049,unknown,740260
992,unknown,784132
49152,http,48
1723,pptp,273
5800,tls,6
5800,unknown,755038
5190,unknown,764967
37,unknown,707066
49152,ssh,2
49155,ftp,1
49152,ftp,1
5101,http,47
7070,unknown,767358
8008,http,2571
106,unknown,733450
144,unknown,766454
20,http,37
25,unknown,795485
20,unknown,747290
514,unknown,794800
21,unknown,735682
6000,http,2374
6000,tls,8
2121,unknown,741058
6001,unknown,749884
6379,redis,35
81,unknown,779938
81,http,2351
6379,unknown,752771
13,unknown,729022
1521,unknown,702824
179,unknown,782423
49153,tls,3
49153,ssh,2
1029,unknown,718948
199,unknown,728783
49153,ftp,1
20000,unknown,779806
49153,http,39
5671,unknown,754465
1110,unknown,718237
49153,unknown,751254
7070,tls,2151
23,http,41
5900,vnc,27
1026,dns,2
5900,unknown,758029
5051,unknown,778892
1026,unknown,745476
1026,http,42
7070,http,67
5900,http,35
23,ftp,1
5900,ftp,1
21,ftp,3984
20000,ftp,2
465,unknown,671123
465,tls,3175
20000,http,2228
444,unknown,800753
20000,tls,16
993,unknown,787383
427,unknown,769955
444,tls,8159
6001,vnc,2
21,tls,4
8081,tls,8395
1911,unknown,732728
6001,tls,2117
1720,unknown,732492
8081,http,5089
6001,telnet,3
5666,http,2076
515,unknown,701555
49157,unknown,733547
6001,http,60
21,http,47
1911,dns,1
646,tls,4
8000,tls,672
1433,mssql,140
1433,http,2085
993,tls,2863
995,http,44
554,dns,1
995,tls,2598
32768,unknown,656481
3000,tls,2255
1883,tls,128
25,smtp,4991
179,http,35
143,http,46
6443,http,43
1883,mqtt,852
25,tls,594
8009,ftp,1
1883,http,2099
88,http,2396
1883,unknown,749728
8009,http,58
8009,tls,2098
8008,tls,68
2005,http,2084
6443,tls,7590
