port,fingerprint,count
5101,http,14
139,tls,5
49155,http,10
2001,tls,25
1883,ftp,1
646,tls,5
20000,ftp,2
7070,tls,80
9100,ftp,1
554,rtsp,53
8008,dns,1
49154,ftp,1
26,tls,5
1883,tls,120
322,ssh,1
992,tls,16
8443,tls,4457
25,smtp,644
27017,http,18
2001,ssh,1
179,http,7
554,tls,4
9100,tls,38
22,ssh,1684
427,http,6
6379,dns,1
6379,redis,30
465,tls,303
9999,ssh,2
5666,tls,9
444,ftp,1
5357,ftp,1
990,tls,47
49153,tls,2
8000,tls,160
5900,vnc,14
8443,ftp,1
6001,vnc,2
2049,dns,1
587,tls,31
444,smtp-ftp,5
465,smtp,27
22,smtp-ftp,1
5357,tls,6
1026,dns,1
32768,tls,18
21,tls,4
8081,tls,287
81,ftp,1
20000,http,134
199,dns,2
631,ssh,1
135,http,10
199,ftp,1
1755,http,8
106,http,7
106,tls,5
119,http,8
5060,http,26
1025,smtp,16
445,smb,46
5671,http,10
992,ftp,1
5631,tls,6
2005,tls,6
22,tls,21
79,http,8
6379,tls,46
631,http,11
993,ssh,1
5009,ftp,1
8008,http,74
5631,http,7
993,imap,2
8081,ftp,1
3389,siemens,19
143,http,13
9999,tls,184
1521,http,6
6379,mysql,1
3389,rdp,270
1723,http,10
5631,dns,1
587,dns,1
11211,ftp,1
5060,tls,13
5190,tls,8
8080,ssh,2
10000,tls,160
10000,ftp,1
9999,http,80
5051,http,8
6443,http,17
322,http,6
10000,http,145
1723,tls,4
80,tls,781
6001,tls,83
6646,tls,5
631,tls,2
1883,mqtt,447
25,tls,53
13,dns,2
5009,tls,22
4899,tls,8
1110,ftp,1
623,tls,8
49153,ssh,2
548,http,8
2000,http,17
113,http,7
5672,smtp,1
1433,mssql,115
1911,ftp,1
49156,http,12
7,tls,4
1720,ftp,1
5432,postgres,413
139,ftp,1
8443,http,150
443,ssh,84
1026,http,13
3128,http,72
5101,tls,7
502,http,10
81,http,201
587,smtp,362
7070,http,27
80,dns,2
513,http,7
6379,http,67
49152,tls,8
80,ftp,1
1900,http,8
8009,ftp,1
5900,http,8
1110,tls,24
1755,tls,18
32768,ssh,1
144,http,6
465,http,13
25,ftp,1
79,tls,7
1720,http,6
49154,tls,2
20000,tls,69
20,http,6
