prefix,AB_ICMPv4,AB_TCPv4,AB_DNSv4,GCD_ICMPv4,GCD_TCPv4,partial,backing_prefix,ASN,locations,is_hrp,number_of_active_ips,ip_utilization,clean_locations,scope,continent,country
1.10.10.0/24,3,0,3,3,0,False,1.10.10.0/24,148000,"[{'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}
 {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}
 {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",False,2,0.0078125,"[{'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}, {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}, {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",Continental,AS,
1.38.14.0/24,2,1,0,2,1,False,1.38.14.0/24,38266,"[{'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}
 {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",False,1,0.00390625,"[{'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}, {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",Continental,AS,
101.32.132.0/24,2,0,0,2,0,False,101.32.132.0/24,132203,"[{'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}
 {'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}]",False,0,0.0,"[{'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}, {'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}]",Continental,AS,
101.33.41.0/24,2,0,0,2,0,False,101.33.41.0/24,132203,"[{'city': 'Tokyo', 'country_code': 'JP', 'id': 'HND', 'lat': 35.5523, 'lon': 139.78}
 {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",False,0,0.0,"[{'city': 'Tokyo', 'country_code': 'JP', 'id': 'HND', 'lat': 35.5523, 'lon': 139.78}, {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",Continental,AS,
101.46.249.0/24,2,2,0,3,1,False,101.46.248.0/22,136907,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}
 {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}
 {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",False,0,0.0,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}, {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}, {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",Continental,EU,
101.46.254.0/24,2,0,0,3,1,False,101.46.254.0/24,136907,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}
 {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}
 {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",False,0,0.0,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}, {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}, {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",Continental,EU,
101.47.95.0/24,2,1,0,3,0,False,101.47.95.0/24,150436,"[{'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 22.36, 'lon': 114.12}
 {'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 1.3, 'lon': 103.79}
 {'city': 'Jakarta', 'country_code': 'ID', 'id': 'CGK', 'lat': -6.12557, 'lon': 106.656}]",False,8,0.03125,"[{'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 22.36, 'lon': 114.12}, {'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 1.3, 'lon': 103.79}, {'city': 'Jakarta', 'country_code': 'ID', 'id': 'CGK', 'lat': -6.12557, 'lon': 106.656}]",Continental,AS,
103.123.167.0/24,1,1,0,2,0,False,103.123.167.0/24,45177,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}
 {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",False,11,0.04296875,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}, {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",National,OC,NZ
103.135.109.0/24,2,2,0,2,1,False,103.135.109.0/24,59238,"[{'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}
 {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",False,3,0.01171875,"[{'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}, {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",Continental,AS,
103.138.240.0/24,1,0,0,2,0,False,103.138.240.0/23,45177,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}
 {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",False,5,0.01953125,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}, {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",National,OC,NZ
