prefix,fingerprint,ASN,nr_pops,locations,airport
163.181.59.0/24,quic-h3,24429,21,"Row(city=None, code_country=None, id='NoCity', latitude=None, longitude=None)",NoCity
163.181.59.0/24,quic-h3,24429,21,"Row(city='Tokyo', code_country=None, id='HND', latitude=None, longitude=None)",HND
163.181.59.0/24,quic-h3,24429,21,"Row(city='Stockholm', code_country=None, id='BMA', latitude=None, longitude=None)",BMA
163.181.59.0/24,quic-h3,24429,21,"Row(city='São Paulo', code_country=None, id='SAO', latitude=None, longitude=None)",SAO
163.181.59.0/24,quic-h3,24429,21,"Row(city='Madrid', code_country=None, id='MAD', latitude=None, longitude=None)",MAD
163.181.59.0/24,quic-h3,24429,21,"Row(city='Sydney', code_country=None, id='SYD', latitude=None, longitude=None)",SYD
163.181.59.0/24,quic-h3,24429,21,"Row(city='Frankfurt-am-Main', code_country=None, id='FRA', latitude=None, longitude=None)",FRA
163.181.59.0/24,quic-h3,24429,21,"Row(city='Santiago', code_country=None, id='SCL', latitude=None, longitude=None)",SCL
163.181.59.0/24,quic-h3,24429,21,"Row(city='Paris', code_country=None, id='CDG', latitude=None, longitude=None)",CDG
163.181.59.0/24,quic-h3,24429,21,"Row(city='Rio De Janeiro', code_country=None, id='GIG', latitude=None, longitude=None)",GIG
163.181.59.0/24,quic-h3,24429,21,"Row(city='Johannesburg', code_country=None, id='QRA', latitude=None, longitude=None)",QRA
163.181.59.0/24,quic-h3,24429,21,"Row(city='Dubai', code_country=None, id='NHD', latitude=None, longitude=None)",NHD
163.181.59.0/24,quic-h3,24429,21,"Row(city='Jakarta', code_country=None, id='CGK', latitude=None, longitude=None)",CGK
163.181.59.0/24,quic-h3,24429,21,"Row(city='Buenos Aires', code_country=None, id='EZE', latitude=None, longitude=None)",EZE
163.181.59.0/24,quic-h3,24429,21,"Row(city='Chicago', code_country=None, id='ORD', latitude=None, longitude=None)",ORD
163.181.59.0/24,quic-h3,24429,21,"Row(city='Milan', code_country=None, id='MXP', latitude=None, longitude=None)",MXP
163.181.59.0/24,quic-h3,24429,21,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
163.181.59.0/24,quic-h3,24429,21,"Row(city='Taipei', code_country=None, id='TAI', latitude=None, longitude=None)",TAI
163.181.59.0/24,quic-h3,24429,21,"Row(city='Bogota', code_country=None, id='BOG', latitude=None, longitude=None)",BOG
163.181.59.0/24,quic-h3,24429,21,"Row(city='New York', code_country=None, id='LGA', latitude=None, longitude=None)",LGA
163.181.59.0/24,quic-h3,24429,21,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
185.195.92.0/24,http,42649,6,"Row(city='Frankfurt-am-Main', code_country=None, id='FRA', latitude=None, longitude=None)",FRA
185.195.92.0/24,http,42649,6,"Row(city='Stockholm', code_country=None, id='BMA', latitude=None, longitude=None)",BMA
185.195.92.0/24,http,42649,6,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
185.195.92.0/24,http,42649,6,"Row(city='New York', code_country=None, id='LGA', latitude=None, longitude=None)",LGA
185.195.92.0/24,http,42649,6,"Row(city='Amsterdam', code_country=None, id='AMX', latitude=None, longitude=None)",AMX
185.195.92.0/24,http,42649,6,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
185.195.94.0/24,http,42649,6,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
185.195.94.0/24,http,42649,6,"Row(city='Frankfurt-am-Main', code_country=None, id='FRA', latitude=None, longitude=None)",FRA
185.195.94.0/24,http,42649,6,"Row(city='Stockholm', code_country=None, id='BMA', latitude=None, longitude=None)",BMA
185.195.94.0/24,http,42649,6,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
185.195.94.0/24,http,42649,6,"Row(city='New York', code_country=None, id='LGA', latitude=None, longitude=None)",LGA
185.195.94.0/24,http,42649,6,"Row(city='Amsterdam', code_country=None, id='AMX', latitude=None, longitude=None)",AMX
193.183.162.0/24,https,42649,6,"Row(city='Frankfurt-am-Main', code_country=None, id='FRA', latitude=None, longitude=None)",FRA
193.183.162.0/24,https,42649,6,"Row(city='Stockholm', code_country=None, id='BMA', latitude=None, longitude=None)",BMA
193.183.162.0/24,https,42649,6,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
193.183.162.0/24,https,42649,6,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
193.183.162.0/24,https,42649,6,"Row(city='New York', code_country=None, id='LGA', latitude=None, longitude=None)",LGA
193.183.162.0/24,https,42649,6,"Row(city='Amsterdam', code_country=None, id='AMX', latitude=None, longitude=None)",AMX
111.220.2.0/24,dns,9443,3,"Row(city='Sydney', code_country=None, id='SYD', latitude=None, longitude=None)",SYD
111.220.2.0/24,dns,9443,3,"Row(city='Melbourne', code_country=None, id='MEL', latitude=None, longitude=None)",MEL
111.220.2.0/24,dns,9443,3,"Row(city='Perth', code_country=None, id='PER', latitude=None, longitude=None)",PER
173.45.137.0/24,ntp,19133,2,"Row(city='Baltimore', code_country=None, id='BWI', latitude=None, longitude=None)",BWI
173.45.137.0/24,ntp,19133,2,"Row(city='Dallas', code_country=None, id='DAL', latitude=None, longitude=None)",DAL
44.31.223.0/24,ssh,198734,2,"Row(city='New York', code_country=None, id='LGA', latitude=None, longitude=None)",LGA
44.31.223.0/24,ssh,198734,2,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
192.165.138.0/24,tls,42649,6,"Row(city='Frankfurt-am-Main', code_country=None, id='FRA', latitude=None, longitude=None)",FRA
192.165.138.0/24,tls,42649,6,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
192.165.138.0/24,tls,42649,6,"Row(city='Stockholm', code_country=None, id='BMA', latitude=None, longitude=None)",BMA
192.165.138.0/24,tls,42649,6,"Row(city='New York', code_country=None, id='LGA', latitude=None, longitude=None)",LGA
192.165.138.0/24,tls,42649,6,"Row(city='Amsterdam', code_country=None, id='AMX', latitude=None, longitude=None)",AMX
192.165.138.0/24,tls,42649,6,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
131.203.248.0/24,dns,9790,2,"Row(city='Auckland', code_country=None, id='AKL', latitude=None, longitude=None)",AKL
131.203.248.0/24,dns,9790,2,"Row(city='Wellington', code_country=None, id='WEL', latitude=None, longitude=None)",WEL
142.248.23.0/24,quic-h3,50224,2,"Row(city='Dallas', code_country=None, id='DAL', latitude=None, longitude=None)",DAL
142.248.23.0/24,quic-h3,50224,2,"Row(city='San Jose', code_country=None, id='SJC', latitude=None, longitude=None)",SJC
89.37.41.0/24,ssh,216393,2,"Row(city='Sydney', code_country=None, id='SYD', latitude=None, longitude=None)",SYD
89.37.41.0/24,ssh,216393,2,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
202.12.31.0/24,dns,18366,8,"Row(city='Seoul', code_country=None, id='GMP', latitude=None, longitude=None)",GMP
202.12.31.0/24,dns,18366,8,"Row(city='Paris', code_country=None, id='CDG', latitude=None, longitude=None)",CDG
202.12.31.0/24,dns,18366,8,"Row(city='Delhi', code_country=None, id='DELHI', latitude=None, longitude=None)",DELHI
202.12.31.0/24,dns,18366,8,"Row(city='Sydney', code_country=None, id='SYD', latitude=None, longitude=None)",SYD
202.12.31.0/24,dns,18366,8,"Row(city='Chicago', code_country=None, id='ORD', latitude=None, longitude=None)",ORD
202.12.31.0/24,dns,18366,8,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
202.12.31.0/24,dns,18366,8,"Row(city='Tokyo', code_country=None, id='NRT', latitude=None, longitude=None)",NRT
202.12.31.0/24,dns,18366,8,"Row(city='Bourges', code_country=None, id='BOU', latitude=None, longitude=None)",BOU
89.106.200.0/24,tls,209626,21,"Row(city='Burbank', code_country=None, id='BUR', latitude=None, longitude=None)",BUR
89.106.200.0/24,tls,209626,21,"Row(city='Seoul', code_country=None, id='GMP', latitude=None, longitude=None)",GMP
89.106.200.0/24,tls,209626,21,"Row(city='Newark', code_country=None, id='CNJ', latitude=None, longitude=None)",CNJ
89.106.200.0/24,tls,209626,21,"Row(city='Stockholm', code_country=None, id='BMA', latitude=None, longitude=None)",BMA
89.106.200.0/24,tls,209626,21,"Row(city='Madrid', code_country=None, id='MAD', latitude=None, longitude=None)",MAD
89.106.200.0/24,tls,209626,21,"Row(city='Sydney', code_country=None, id='SYD', latitude=None, longitude=None)",SYD
89.106.200.0/24,tls,209626,21,"Row(city='Seattle', code_country=None, id='BFI', latitude=None, longitude=None)",BFI
89.106.200.0/24,tls,209626,21,"Row(city='Dallas', code_country=None, id='DAL', latitude=None, longitude=None)",DAL
89.106.200.0/24,tls,209626,21,"Row(city=None, code_country=None, id='NoCity', latitude=None, longitude=None)",NoCity
89.106.200.0/24,tls,209626,21,"Row(city='Tokyo', code_country=None, id='HND', latitude=None, longitude=None)",HND
89.106.200.0/24,tls,209626,21,"Row(city='Mumbai', code_country=None, id='BOM', latitude=None, longitude=None)",BOM
89.106.200.0/24,tls,209626,21,"Row(city='Honolulu', code_country=None, id='HNL', latitude=None, longitude=None)",HNL
89.106.200.0/24,tls,209626,21,"Row(city='Chicago', code_country=None, id='ORD', latitude=None, longitude=None)",ORD
89.106.200.0/24,tls,209626,21,"Row(city='Toronto', code_country=None, id='YZD', latitude=None, longitude=None)",YZD
89.106.200.0/24,tls,209626,21,"Row(city='São Paulo', code_country=None, id='SAO', latitude=None, longitude=None)",SAO
89.106.200.0/24,tls,209626,21,"Row(city='Querétaro', code_country=None, id='QRO', latitude=None, longitude=None)",QRO
89.106.200.0/24,tls,209626,21,"Row(city='Johannesburg', code_country=None, id='QRA', latitude=None, longitude=None)",QRA
89.106.200.0/24,tls,209626,21,"Row(city='Frankfurt-am-Main', code_country=None, id='FRA', latitude=None, longitude=None)",FRA
89.106.200.0/24,tls,209626,21,"Row(city='San Jose', code_country=None, id='SJC', latitude=None, longitude=None)",SJC
89.106.200.0/24,tls,209626,21,"Row(city='London', code_country=None, id='LHR', latitude=None, longitude=None)",LHR
89.106.200.0/24,tls,209626,21,"Row(city='Barcelona', code_country=None, id='BCN', latitude=None, longitude=None)",BCN
185.8.237.0/24,quic-h3,208414,7,"Row(city='Frankfurt-am-Main', code_country=None, id='FRA', latitude=None, longitude=None)",FRA
185.8.237.0/24,quic-h3,208414,7,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
185.8.237.0/24,quic-h3,208414,7,"Row(city='Baltimore', code_country=None, id='BWI', latitude=None, longitude=None)",BWI
185.8.237.0/24,quic-h3,208414,7,"Row(city='New York', code_country=None, id='LGA', latitude=None, longitude=None)",LGA
185.8.237.0/24,quic-h3,208414,7,"Row(city='Vilnius', code_country=None, id='VNO', latitude=None, longitude=None)",VNO
185.8.237.0/24,quic-h3,208414,7,"Row(city='Singapore', code_country=None, id='SIN', latitude=None, longitude=None)",SIN
185.8.237.0/24,quic-h3,208414,7,"Row(city='Buenos Aires', code_country=None, id='EZE', latitude=None, longitude=None)",EZE
121.98.0.0/24,dns,9790,2,"Row(city='Wellington', code_country=None, id='WEL', latitude=None, longitude=None)",WEL
121.98.0.0/24,dns,9790,2,"Row(city='Auckland', code_country=None, id='AKL', latitude=None, longitude=None)",AKL
23.162.177.0/24,ntp,398549,2,"Row(city='Sydney', code_country=None, id='SYD', latitude=None, longitude=None)",SYD
23.162.177.0/24,ntp,398549,2,"Row(city='Los Angeles', code_country=None, id='LAX', latitude=None, longitude=None)",LAX
