cctld,alpha_3
ae,ARE
cr,CRI
my,MYS
ng,NGA
cu,CUB
lu,LUX
us,USA
ki,KIR
ao,AGO
hr,HRV
vi,VIR
vu,VUT
cg,COG
az,AZE
bd,BGD
cat,ESP
pn,PCN
mf,MAF
gi,GIB
jm,JAM
bf,BFA
de,DEU
cf,CAF
tk,TKL
mc,MCO
gt,GTM
sx,SXM
tw,TWN
cw,CUW
ee,EST
kp,PRK
ec,ECU
bv,BVT
hk,HKG
tp,TLS
ye,YEM
km,COM
pa,PAN
be,BEL
al,ALB
sc,SYC
cc,CCK
dz,DZA
ai,AIA
ua,UKR
dk,DNK
sk,SVK
ps,PSE
mn,MNG
ug,UGA
nz,NZL
wf,WLF
xk,XKX
kn,KNA
sj,SJM
sy,SYR
so,SOM
yt,MYT
tc,TCA
gu,GUM
ni,NIC
rw,RWA
ba,BIH
sv,SLV
kh,KHM
fi,FIN
nf,NFK
eh,ESH
dm,DMA
fk,FLK
si,SVN
lc,LCA
do,DOM
io,IOT
hm,HMD
fo,FRO
nl,NLD
pf,PYF
li,LIE
bi,BDI
im,IMN
bt,BTN
aw,ABW
bh,BHR
uk,GBR
mu,MUS
by,BLR
za,ZAF
bq,BES
ph,PHL
bz,BLZ
tn,TUN
abudhabi,ARE
sr,SUR
om,OMN
iq,IRQ
mx,MEX
me,MNE
to,TON
mh,MHL
mw,MWI
as,ASM
cn,CHN
bg,BGR
je,JEY
gal,ESP
pe,PER
na,NAM
kz,KAZ
lk,LKA
sg,SGP
ke,KEN
bb,BRB
mm,MMR
lv,LVA
hn,HND
eg,EGY
vg,VGB
mv,MDV
gd,GRD
nu,NIU
ml,MLI
tg,TGO
ws,WSM
td,TCD
br,BRA
in,IND
pt,PRT
ar,ARG
pk,PAK
lb,LBN
tj,TJK
mq,MTQ
qa,QAT
bw,BWA
kr,KOR
gn,GIN
af,AFG
rs,SRB
cy,CYP
uy,URY
kw,KWT
tt,TTO
va,VAT
pw,PLW
bj,BEN
gy,GUY
cz,CZE
ge,GEO
ky,CYM
no,NOR
il,ISR
sn,SEN
ie,IRL
gm,GMB
au,AUS
ca,CAN
fj,FJI
cm,CMR
id,IDN
kg,KGZ
sb,SLB
sh,SHN
vc,VCT
gg,GGY
ms,MSR
gs,SGS
an,NLD
bo,BOL
mt,MLT
mo,MAC
la,LAO
cv,CPV
cd,COD
md,MDA
mk,MKD
ir,IRN
vn,VNM
tz,TZA
sa,SAU
co,COL
sl,SLE
ve,VEN
jp,JPN
er,ERI
ro,ROU
lr,LBR
bn,BRN
gr,GRC
sz,SWZ
fr,FRA
dj,DJI
se,SWE
uz,UZB
ne,NER
ci,CIV
cl,CHL
re,REU
is,ISL
es,ESP
gw,GNB
gf,GUF
am,ARM
tf,ATF
ag,ATG
gl,GRL
sd,SDN
ly,LBY
cx,CXR
sm,SMR
py,PRY
ls,LSO
gh,GHA
ck,COK
tl,TLS
bs,BHS
tv,TUV
tr,TUR
ht,HTI
pr,PRI
nc,NCL
pm,SPM
lt,LTU
ss,SSD
ru,RUS
mz,MOZ
ax,ALA
np,NPL
jo,JOR
zw,ZWE
mg,MDG
ad,AND
ac,GBR
at,AUT
gp,GLP
ch,CHE
ga,GAB
pl,POL
zm,ZMB
eus,ESP
fm,FSM
hu,HUN
et,ETH
mr,MRT
pg,PNG
bm,BMU
st,STP
gq,GNQ
aq,ATA
bl,BLM
nr,NRU
tm,TKM
it,ITA
ma,MAR
th,THA
mp,MNP
scot,BGR
swiss,CHE
gb,GBR
su,RUS
um,UMI
xn--lgbbat1ad8j,DZA
xn--y9a3aq,ARM
xn--mgbcpq6gpa1a,BHR
xn--54b7fta0cc,BGD
xn--90ais,BLR
xn--90ae,BGR
xn--fiqs8s,CHN
xn--fiqz9s,CHN
xn--wgbh1c,EGY
xn--node,GEO
xn--qxam,GRC
xn--j6w193g,HKG
xn--h2brj9c,IND
xn--mgbbh1a71e,IND
xn--fpcrj9c3d,IND
xn--gecrj9c,IND
xn--s9brj9c,IND
xn--3hcrj9c,IND
xn--2scrj9c,IND
xn--45brj9c,IND
xn--45br5cyl,IND
xn--rvc1e0am3e,IND
xn--xkc2al3hye2a,LKA
xn--fzc2c9e2c,LKA
xn--mgba3a4f16a,IRN
xn--mgbtx2b,IRQ
xn--mgbayh7gpa,JOR
xn--80ao21a,KAZ
xn--3e0b707e,KOR
xn--q7ce6a,LAO
xn--mgbb7fyab,LBY
xn--mix082f,MAC
xn--mix891f,MAC
xn--mgberp4a5d4ar,SAU
xn--90a3ac,SRB
xn--yfro4i67o,SGP
xn--clchc0ea0b2g2a9gcd,SGP
xn--wgbl6a,QAT
xn--mgbaam7a8h,ARE
xn--mgbpl2fh,OMN
xn--l1acc,MNG
xn--mgbx4cd0ab,YEM
xn--p1ai,RUS
xn--4dbrk0ce,ISR
xn--o3cw4h,THA
xn--j1amh,UKR
xn--kpry57d,TWN
xn--d1alf,MKD
xn--ygbi2ammx,PSE
xn--xkc2dl3a5ee0h,IND
xn--ogbpf8fl,SYR
xn--kprw13d,TWN
xn--pgbs0dh,TUN
xn--mgbah1a3hjkrd,MRT
xn--h2breg3eve,IND
xn--h2brj9c8c,IND
xn--mgb9awbf,OMN
xn--mgbai9azgqp6j,PAK
xn--mgbbh1a,IND
xn--mgbc0a9azcg,MAR
xn--mgbgu82a,IND
gov,USA
mil,USA
