timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped
1771088517,4598715387540,21963078425278,46392852555,328586317254,67,0
1771088547,4598748594930,21963215352051,46393318467,328587838311,67,0
1771088577,4598783273870,21963358619552,46393805197,328589429898,67,0
1771088607,4598806608166,21963442067986,46394125567,328590435818,67,0
1771088637,4598855734875,21963586597032,46394786767,328592415640,67,0
1771088667,4598887955267,21963681300018,46395220345,328593712869,67,0
1771088697,4598892002248,21963851665327,46395259014,328593843509,67,0
1771088727,4598896806747,21964035787538,46395304860,328593985992,67,0
1771088757,4598901592296,21964220000742,46395350758,328594128618,67,0
1771088787,4598906379935,21964403788775,46395396519,328594270812,67,0
1771088817,4598911158493,21964587991710,46395442185,328594413339,67,0
1771088847,4598915926300,21964772111597,46395487913,328594555797,67,0
1771088877,4598920735577,21964955901172,46395533756,328594698006,67,0
1771088907,4598925469857,21965140021816,46395579464,328594840473,67,0
1771088937,4598930248953,21965323892360,46395625355,328594982732,67,0
1771088967,4598934928581,21965508096866,46395670661,328595125270,67,0
1771088997,4598939693663,21965691970059,46395716559,328595267552,67,0
1771089027,4598944520338,21965876010215,46395762351,328595409980,67,0
1771089057,4598949404544,21966066100952,46395809533,328595557127,67,0
1771089087,4598954060785,21966244010017,46395853719,328595694788,67,0
1771089117,4598958849512,21966428215174,46395899716,328595837336,67,0
1771089147,4598963590694,21966612086826,46395945403,328595979601,67,0
1771089177,4598968353708,21966796207089,46395991035,328596122061,67,0
1771089207,4598973147101,21966980162816,46396036902,328596264406,67,0
1771089237,4598977934602,21967164284044,46396082679,328596406879,67,0
1771089267,4598982657055,21967348240101,46396128056,328596549223,67,0
1771089297,4598987422288,21967532361648,46396173640,328596691694,67,0
1771089327,4598992250202,21967716316967,46396219751,328596834035,67,0
1771089357,4598997206821,21967906492342,46396267086,328596981263,67,0
1771089387,4599001834754,21968084318795,46396311345,328597118862,67,0
1771089417,4599006637461,21968268520596,46396357197,328597261374,67,0
1771089447,4599011259600,21968446181131,46396401203,328597398847,67,0
1771089477,4599017438531,21968451250244,46396407693,328597408092,67,0
1771089508,4599018798189,21968457164463,46396427131,328597462695,67,0
1771089538,4599027709221,21968477610191,46396561936,328597772386,67,0
1771089568,4599036097240,21968496734538,46396688782,328598062050,67,0
1771089598,4599044788841,21968516521576,46396820315,328598361758,67,0
1771089628,4599053774270,21968536966538,46396956345,328598671420,67,0
1771089658,4599062547539,21968556750610,46397089145,328598971059,67,0
1771089688,4599071072579,21968575891392,46397218159,328599260976,67,0
1771089718,4599079926893,21968595672625,46397352027,328599560583,67,0
1771089748,4599089078720,21968616118264,46397490528,328599870270,67,0
1771089778,4599097794465,21968635240926,46397622438,328600159917,67,0
1771089808,4599106923946,21968655037485,46397760577,328600459764,67,0
1771089838,4599116493019,21968675478695,46397905371,328600769388,67,0
1771089868,4599125432266,21968694619241,46398040609,328601059304,67,0
1771089898,4599126431524,21968840762375,46398055375,328603492868,67,0
1771089928,4599126492639,21968876972646,46398055839,328604096237,67,0
1771089958,4599126537845,21968876992188,46398056094,328604096414,67,0
1771089988,4599126576585,21968877006816,46398056265,328604096541,67,0
1771090018,4599126614555,21968877021124,46398056420,328604096664,67,0
1771090048,4599126649670,21968877034562,46398056539,328604096778,67,0
1771090078,4599126687176,21968877048742,46398056655,328604096898,67,0
1771090108,4599126730685,21968877070367,46398056875,328604097122,67,0
1771090138,4599126767760,21968877084083,46398057024,328604097239,67,0
1771090168,4599126804034,21968877098209,46398057170,328604097359,67,0
1771090198,4599129238173,21969176457331,46398092560,328604358907,67,0
1771090228,4599138467201,21969196243494,46398231953,328604658588,67,0
1771090258,4599147401229,21969215372021,46398366967,328604948298,67,0
1771090288,4599156918762,21969235818550,46398510862,328605257997,67,0
1771090318,4599166157349,21969255613428,46398650513,328605557828,67,0
1771090348,4599175406607,21969275399714,46398790312,328605857530,67,0
1771090378,4599184334814,21969294523297,46398925217,328606147181,67,0
1771090408,4599193802446,21969314965471,46399068358,328606456814,67,0
1771090438,4599202999776,21969334751619,46399207450,328606756514,67,0
1771090468,4599211923020,21969353882969,46399342378,328607046293,67,0
1771090498,4599221501070,21969374329519,46399487161,328607355990,67,0
1771090528,4599230779542,21969394118553,46399627432,328607655721,67,0
